20170719-2246,97.67%
20170720-1449,97.67%
20170720-2245,97.67%
20170721-0339,97.67%
20170721-1841,97.67%
20170721-2244,97.42%
20170724-1444,97.67%
20170728-2231,97.16%
20170729-0043,97.42%
20170730-1442,97.42%
20170731-1442,94.97%
20170731-2350,96.11%
20170802-1856,97.16%
20170802-2239,96.37%
20170804-0332,93.02%
20170808-1641,93.02%
20170809-0339,93.02%
20170811-0400,90.44%
20170814-2248,97.16%
20170815-1832,97.16%
20170823-0356,97.67%
20170828-2300,97.42%
20170829-0042,97.67%
20170829-1506,97.42%
20170829-2333,97.16%
20170830-1438,97.67%
20170831-2330,97.42%
20170901-0355,96.15%
20170901-1900,97.42%
20170902-0429,97.67%
20170904-1903,93.82%
20170906-2235,97.16%
20170907-1932,97.16%
20170912-2235,97.15%
20170913-1438,97.67%
20170913-2233,97.67%
20170914-1919,97.16%
20170915-1133,97.67%
20170916-0626,97.16%
20170919-1742,97.42%
20170919-2246,97.42%
20170920-1732,97.67%
20170921-1137,96.61%
20170921-1843,97.16%
20170922-2239,97.16%
20170925-2251,97.67%
20170926-0335,95.31%
20170926-1435,97.42%
20170927-0337,97.42%
20170927-1840,97.13%
20170927-2234,95.36%
20170928-1513,91.59%
20170929-1925,96.87%
20171002-1755,97.42%
20171003-1425,97.42%
20171003-2243,97.42%
20171004-1811,95.81%
20171004-1953,97.16%
20171005-1148,97.42%
20171005-1441,97.67%
20171006-1755,97.16%
20171006-1946,97.42%
20171009-2208,97.15%
20171009-2350,97.16%
20171010-1837,97.42%
20171011-0346,96.90%
20171012-0340,97.67%
20171012-2003,97.42%
20171016-1553,97.67%
20171016-1843,97.42%
20171017-2240,97.42%
20171018-1142,97.42%
20171019-1841,97.16%
20171020-0340,97.67%
20171020-1450,97.16%
20171020-2237,97.67%
20171024-2247,94.32%
20171025-1645,97.42%
20171026-1833,97.42%
20171027-0342,97.16%
20171030-0231,97.42%
20171030-1731,97.16%
20171031-0238,97.42%
20171102-1031,97.67%
20171102-1736,97.42%
20171106-2246,97.16%
20171107-2121,97.67%
20171108-1717,97.13%
20171111-0343,97.16%
20171111-2250,97.42%
20171113-1138,97.67%
20171113-1852,97.16%
20171114-1448,97.42%
20171114-2244,97.42%
20171116-1446,0.00%
20171117-1858,97.42%
20171118-1847,76.49%
20171119-1857,96.90%
20171120-1859,97.42%
20171121-0009,97.67%
20171127-1653,97.42%
20171128-1843,34.71%
20171130-0342,71.70%
20171130-2127,70.00%
20171201-0332,34.50%
20171201-1844,43.38%
20171203-2237,97.67%
20171204-1138,97.42%
20171204-1843,97.67%
20171204-2256,97.16%
20171205-1842,97.42%
20171206-0349,97.67%
20171206-1728,97.16%
20171206-2242,97.42%
20171207-1443,97.16%
20171207-1927,96.64%
20171208-1712,97.16%
20171215-0408,74.78%
20171215-1840,97.16%
20171215-2233,96.91%
20171219-0339,97.42%
20171219-1840,97.35%
20171220-1838,97.16%
20171221-0335,97.42%
20171221-1302,97.42%
20171221-1835,97.42%
20180105-0337,95.64%
20180108-1730,97.67%
20180109-0340,97.67%
20180109-1438,90.59%
20180110-0339,97.42%
20180110-2011,95.12%
20180110-2244,97.67%
20180112-0337,97.67%
20180112-2233,96.64%
20180113-0337,97.42%
20180113-1144,97.67%
20180116-0201,97.15%
20180116-1446,97.14%
20180116-2141,97.42%
20180118-1150,96.90%
20180118-2056,97.67%
20180119-1841,97.42%
20180124-1909,94.87%
20180126-1927,97.16%
20180126-2352,97.16%
20180128-1431,85.35%
20180129-0331,97.42%
20180131-1436,97.42%
20180202-0914,97.42%
20180205-2236,97.42%
20180206-0341,97.42%
20180206-2245,97.16%
20180207-1135,97.33%
20180208-1736,97.42%
20180209-0333,97.67%
20180209-1441,97.67%
20180209-2256,96.90%
20180210-2233,97.42%
20180212-1958,97.42%
20180213-1559,97.42%
20180213-2357,94.44%
20180215-0335,97.42%
20180215-1900,97.67%
20180216-0338,97.67%
20180216-1136,97.16%
20180219-1556,97.67%
20180220-0337,97.67%
20180221-0341,96.90%
20180221-1856,97.42%
20180222-0220,97.42%
20180222-1659,97.42%
20180223-0343,97.42%
20180223-1841,97.16%
20180224-0340,96.92%
20180227-2243,96.16%
20180228-0347,97.16%
20180228-2242,97.42%
20180301-0345,97.42%
20180302-0110,97.42%
20180303-0339,97.14%
20180306-0337,97.42%
20180306-2242,97.42%
20180307-0335,97.16%
20180307-1848,97.42%
20180308-0335,97.67%
20180308-1444,97.67%
20180309-0345,97.67%
20180309-1141,94.40%
20180309-2249,97.16%
20180312-1607,97.67%
20180313-0244,97.67%
20180313-1341,97.67%
20180313-2136,95.35%
20180319-0238,97.67%
20180319-2025,97.16%
20180320-0234,97.42%
20180321-0232,97.67%
20180321-2136,97.42%
20180322-0240,97.67%
20180322-1732,97.67%
20180323-0249,97.16%
20180323-1045,97.42%
20180324-0237,97.42%
20180325-1843,97.16%
20180326-1838,97.16%
20180327-0344,97.67%
20180327-1834,97.42%
20180328-0551,97.40%
20180328-2251,97.42%
20180329-2237,97.42%
20180330-1812,97.67%
20180402-2232,93.19%
20180404-0342,97.42%
20180406-1707,97.42%
20180407-0345,97.16%
20180409-2234,95.82%
20180410-0337,97.67%
20180410-1141,96.90%
20180411-0340,96.64%
20180412-0112,97.67%
20180412-0343,97.42%
